  f  zad   ion[i,j]
  58   640   79
  58   641   77
  58   648   72
  58   649   78
  58   650   76
  58   651   78
  58   652   84
  58   653   87
  58   654   93
  58   655   96
  58   656   95
  58   657   93
  58   658   96
  58   659  100
  58   660  102
  58   661   99
  58   662   98
  58   663   94
  58   664   78
  58   666   91
  58   667  109
  58   668  115
  58   669  114
  58   670  106
  58   671   97
  58   672   89
  58   673   83
  58   674   92
  58   675  101
  58   676  101
  58   677   87
  58   679   88
  58   680  101
  58   681  102
  58   682  100
  58   683   99
  58   684   85
  58   685   75
  58   686   75
  58   688   71
  58   690   86
  58   691   92
  58   692   87
  58   693   80
  58   694   76
  58   695   86
  58   696   84
  58   697   83
  58   698   80
  59   250   72
  59   251   71
  59   252   74
  59   253   77
  59   271   69
  59   273  109
  59   274  129
  59   275  120
  59   276   76
  59   519   73
  59   539   77
  59   553   72
  59   563   70
  59   573   71
  59   597   74
  59   598   72
  59   599   74
  59   600   72
  59   604   69
  59   624   69
  59   640   85
  59   641   79
  59   651   79
  59   652   83
  59   653   74
  59   654   80
  59   655   84
  59   656   89
  59   657   90
  59   658   83
  59   659   90
  59   660   91
  59   662   78
  59   663   74
  59   664   69
  59   666   72
  59   667   89
  59   668   91
  59   669   90
  59   670   72
  59   675   76
  59   676   82
  59   677   71
  59   680   73
  59   683   78
  59   695   71
  60   250   73
  60   251   75
  60   253   73
  60   270   79
  60   271   93
  60   272   93
  60   273  120
  60   274  133
  60   275  122
  60   276   81
  60   508   72
  60   518   78
  60   538   77
  60   539   89
  60   540   86
  60   541   74
  60   542   68
  60   547   81
  60   553   81
  60   554   73
  60   606   70
  60   624   71
  60   633   70
  60   634   70
  60   640   80
  60   641   71
  60   651   69
  60   652   69
  60   660   81
  61   251   73
  61   253   80
  61   270   86
  61   271  109
  61   272  119
  61   273  122
  61   274  128
  61   275  123
  61   276  102
  61   277   81
  61   508   70
  61   517   74
  61   518   82
  61   519   75
  61   522   71
  61   526   70
  61   536   71
  61   537   77
  61   538   79
  61   539   87
  61   540   87
  61   541   72
  61   542   74
  61   543   71
  61   544   73
  61   546   82
  61   547   87
  61   549   77
  61   550   69
  61   553   85
  61   554   93
  61   555   88
  61   556   77
  61   557   68
  61   559   81
  61   562   68
  61   569   71
  61   573   74
  61   574   75
  61   575   76
  61   576   70
  61   577   74
  61   578   73
  61   579   69
  61   581   73
  61   582   69
  61   624   67
  61   625   73
  61   632   68
  61   633   69
  61   645   68
  61   646   67
  61   660   74
  62   252   76
  62   253   83
  62   254   81
  62   255   72
  62   261   69
  62   262   74
  62   271  112
  62   272  128
  62   273   99
  62   274  122
  62   275  114
  62   276   92
  62   277   93
  62   537   74
  62   539   70
  62   540   82
  62   542   77
  62   544   79
  62   546   95
  62   547  103
  62   548   97
  62   549   93
  62   550   85
  62   551   74
  62   553   82
  62   554   97
  62   555   97
  62   556   90
  62   557   85
  62   558   85
  62   562   79
  62   563   73
  62   569   74
  62   570   74
  62   646   74
  62   647   69
  62   649   70
  62   650   69
  63   252   74
  63   254   80
  63   255   79
  63   261   78
  63   268   77
  63   271  113
  63   272  135
  63   273  137
  63   274  137
  63   275  126
  63   276  111
  63   277  101
  63   540   72
  63   541   81
  63   542   90
  63   543   92
  63   544   97
  63   545  103
  63   546  107
  63   547  107
  63   548  100
  63   549   89
  63   550   77
  63   554   88
  63   649   78
  63   650   74
  64   252   80
  64   253   79
  64   254   89
  64   255   83
  64   260   79
  64   261   86
  64   262   72
  64   263   72
  64   264   76
  64   266   74
  64   267   85
  64   268   79
  64   271  117
  64   272  136
  64   273  138
  64   274  141
  64   275  137
  64   276  125
  64   277  111
  64   278   80
  64   513   73
  64   528   72
  64   529   83
  64   530   92
  64   531   88
  64   541   69
  64   542   90
  64   543   94
  64   544   94
  64   545   99
  64   546   98
  64   547   88
  64   548   83
  64   553   88
  64   554   82
  64   557   70
  64   558   79
  64   586   73
  64   649   71
  65   252   78
  65   253   94
  65   254  101
  65   255   88
  65   261   87
  65   262   84
  65   263   79
  65   264   81
  65   265   76
  65   266   74
  65   267   72
  65   268   76
  65   270   83
  65   271  117
  65   272  132
  65   273   93
  65   274  135
  65   275  131
  65   276  109
  65   277  118
  65   278   89
  65   513   77
  65   529   83
  65   530   96
  65   531   94
  65   532   81
  65   533   76
  65   542   80
  65   543   72
  65   546   78
  65   548   79
  65   553   88
  65   554   93
  65   555   87
  65   556   77
  65   558   80
  65   559   78
  65   565   72
  65   566   76
  65   586   75
  65   587   76
  66   253   87
  66   254  103
  66   255   97
  66   259   75
  66   261   86
